title,date,duration,yes_votes,no_votes,winners,losers,outcome,category
Noita Soler TI 13-37,2024-08-04 07:04:47,00:23:10,87,205,205,87,Lost,Twitch Integration
Noita Boss Rush Daily Run,2024-08-04 07:41:27,04:52:41,264,61,61,264,Lost,Daily Run
Noita Soler TI 13-17 5 Attempts,2024-08-04 12:51:38,00:23:08,91,149,149,91,Lost,Twitch Integration
Noita Soler TI 15-35,2024-08-08 05:58:18,00:10:04,69,133,133,69,Lost,Twitch Integration
Noita Soler TI 15-35,2024-08-08 06:34:20,00:14:42,66,171,171,66,Lost,Twitch Integration
Noita Soler TI 15-35 2 Attempts,2024-08-08 06:50:03,00:16:08,103,120,120,103,Lost,Twitch Integration
Noita Soler TI 15-35 3 Attempts,2024-08-08 07:06:24,00:28:26,110,101,110,101,Won,Twitch Integration
Noita Nightmare 7 Orb Run,2024-08-08 07:38:06,04:21:55,249,79,249,79,Won,Nightmare
Noita Soler TI 10-25 3 attempts,2024-08-08 12:01:13,00:19:06,54,103,103,54,Lost,Twitch Integration
Noita Soler TI 10-25,2024-08-09 06:27:38,00:13:58,63,250,250,63,Lost,Twitch Integration
Noita Soler TI 10-25,2024-08-09 07:01:13,00:21:54,59,250,250,59,Lost,Twitch Integration
Noita Soler TI 10-25 3 Attempts,2024-08-09 07:24:53,00:27:14,82,158,82,158,Won,Twitch Integration
Noita Roulette Daily Run,2024-08-09 08:13:52,06:08:46,371,44,371,44,Won,Daily Run
Noita Fish Quest Daily Run,2024-08-10 06:35:31,05:22:55,386,39,386,39,Won,Daily Run
Noita Soler TI 6 - 36,2024-08-10 12:02:09,00:15:37,51,180,51,180,Won,Twitch Integration
Noita Soler TI 1v1 12-30,2024-08-10 12:23:46,00:16:50,90,170,90,170,Won,Twitch Integration
Noita Soler TI 15-25,2024-08-16 06:23:00,00:18:42,82,216,216,82,Lost,Twitch Integration
Noita 11 Orb No Perks Daily Run,2024-08-16 07:39:49,04:10:30,319,54,319,54,Won,Daily Run
Noita Soler TI 13-29,2024-08-17 06:38:02,00:14:17,79,202,202,79,Lost,Twitch Integration
Noita Soler TI 13-29,2024-08-17 07:28:21,00:16:19,86,178,86,178,Won,Twitch Integration
Noita Roulette Daily Run,2024-08-17 08:00:19,05:09:36,404,33,404,33,Won,Daily Run
Noita Soler TI 11-23,2024-08-18 07:03:35,00:15:40,50,229,229,50,Lost,Twitch Integration
Noita Star Nursery Daily Run,2024-08-18 07:46:04,05:57:51,315,36,315,36,Won,Daily Run
Noita Soler TI 13-27,2024-08-18 13:50:04,00:27:19,81,167,81,167,Won,Twitch Integration
Noita Soler TI 13-27,2024-08-22 06:32:19,00:14:15,50,185,185,50,Lost,Twitch Integration
Noita No PW NG+ Gamba,2024-08-22 06:58:25,05:02:19,298,27,298,27,Won,Other
Noita Soler TI 3-33,2024-08-22 12:03:11,00:17:12,66,178,66,178,Won,Twitch Integration
Noita All Boss Daily Run No PW,2024-08-23 06:18:21,06:38:50,339,21,339,21,Won,Daily Run
Noita Finding Jarate Sniper Daily Run,2024-08-24 06:29:31,01:22:48,371,30,371,30,Won,Daily Run
Noita Creating Fools Gold Holes,2024-08-24 08:29:42,03:28:25,274,14,274,14,Won,Other
Noita Soler 13-37,2024-08-24 12:04:14,00:13:56,84,89,84,89,Won,Twitch Integration
Noita Soler TI 18-26,2024-08-24 12:30:06,00:10:52,96,130,130,96,Lost,Twitch Integration
Noita Midas At Home Daily Run,2024-08-29 05:23:28,05:36:59,352,22,352,22,Won,Daily Run
Noita Soler TI 18-26,2024-08-29 11:05:44,00:22:41,43,135,135,43,Lost,Twitch Integration
Noita Soler TI 20-30,2024-08-31 06:33:03,00:17:25,61,165,165,61,Lost,Twitch Integration
Noita Daily Run Ending With Boss Rush,2024-08-31 07:21:24,02:02:02,186,103,103,186,Lost,Daily Run
Noita Soler TI 20-30,2024-08-31 13:05:42,00:09:57,66,104,104,66,Lost,Twitch Integration
Noita Soler TI 21-29,2024-09-01 04:50:12,00:22:08,65,124,124,65,Lost,Twitch Integration
Noita True Invisibility Daily Run,2024-09-01 05:55:20,04:53:13,323,17,323,17,Won,Daily Run
Noita Soler TI 12-28,2024-09-01 10:53:30,00:20:02,56,188,188,56,Lost,Twitch Integration
Noita Soler TI 21-29,2024-09-05 06:36:42,00:04:58,70,157,157,70,Lost,Twitch Integration
Noita Perk Duping Bad Perks Daily Run,2024-09-05 07:28:20,05:47:31,323,22,323,22,Won,Daily Run
Noita Kidney Stone Daily Run,2024-09-06 05:49:54,05:23:01,349,17,349,17,Won,Daily Run
Noita Soler TI 18-25,2024-09-06 11:24:23,00:14:48,70,158,158,70,Lost,Twitch Integration
Noita Soler TI 13-34,2024-09-07 05:26:28,00:10:37,52,129,129,52,Lost,Twitch Integration
Noita Farming Health Daily Run,2024-09-07 05:54:27,01:21:53,361,23,23,361,Lost,Daily Run
Noita Roulette Run,2024-09-07 07:34:50,04:38:05,301,43,301,43,Won,Noita Roulette
Noita Soler TI 13-37,2024-09-08 03:59:49,00:16:34,56,125,56,125,Won,Twitch Integration
Noita Soler TI 13-37,2024-09-08 09:54:00,00:22:12,92,180,180,92,Lost,Twitch Integration
Noita Daily Run Building Complex Waypoint Wand,2024-09-13 04:47:51,07:26:52,297,47,297,47,Won,Daily Run
Noita Soler TI 12-24 2 Attempts,2024-09-14 04:55:30,00:25:03,74,139,74,139,Won,Twitch Integration
Noita All Boss No Payloads Daily Run,2024-09-14 05:59:52,05:38:02,350,25,350,25,Won,Daily Run
